STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,YEAR,MONTH,DAY,TAVG,TMAX,TMIN
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,5/16/2004,2004,5,16,52,58,46
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,5/17/2004,2004,5,17,56.5,66,47
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,5/18/2004,2004,5,18,52.5,61,44
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,5/19/2004,2004,5,19,51,60,42
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,5/20/2004,2004,5,20,54.5,60,49
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,5/21/2004,2004,5,21,50,58,42
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,5/22/2004,2004,5,22,46,53,39
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,5/23/2004,2004,5,23,45.5,57,34
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,5/24/2004,2004,5,24,42,52,32
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,5/25/2004,2004,5,25,43.5,49,38
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,5/26/2004,2004,5,26,46.5,56,37
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,5/27/2004,2004,5,27,53.5,63,44
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,5/28/2004,2004,5,28,47.5,58,37
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,5/29/2004,2004,5,29,39,43,35
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,5/30/2004,2004,5,30,40.5,49,32
